Date : 2024-06-28 23:33:12
Directory : d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main
Total : 153 files,  8650 codes, 751 comments, 1936 blanks, all 11337 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Attributes - System\EquipmentAttributeBuilder.cs                                       | C#       |         25 |          0 |          7 |         32 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Attributes - System\Event\AbstractAttributeEventHandler.cs                             | C#       |         21 |          0 |          4 |         25 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Attributes - System\Event\ClampAttributeEventHandler.cs                                | C#       |         37 |          1 |         10 |         48 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Attributes - System\Event\LogAttributeChangeEventHandler.cs                            | C#       |         27 |          1 |          9 |         37 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Attributes - System\Event\NotifyAttributeChangeEventHandler.cs                         | C#       |         54 |          0 |         12 |         66 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Attributes - System\Event\ShowValueChangesEventHandler.cs                              | C#       |         83 |          0 |         18 |        101 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Attributes - System\LinearDerivedAttributeScriptableObject.cs                          | C#       |         23 |          0 |          7 |         30 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Effect - System\ConditionalGameplayEffectContainer.cs                                  | C#       |         10 |          0 |          3 |         13 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Effect - System\EDurationPolicy.cs                                                     | C#       |          9 |          0 |          2 |         11 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Effect - System\GameplayEffectDefinitionContainer.cs                                   | C#       |         14 |         12 |          7 |         33 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Effect - System\GameplayEffectModifier.cs                                              | C#       |         18 |          0 |          3 |         21 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Effect - System\GameplayEffectPeriod.cs                                                | C#       |         10 |          9 |          4 |         23 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Effect - System\GameplayEffectScriptableObject.cs                                      | C#       |         14 |          0 |          5 |         19 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Effect - System\GameplayEffectSpec.cs                                                  | C#       |         85 |          2 |         15 |        102 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Effect - System\GameplayEffectTags.cs                                                  | C#       |         14 |         15 |          6 |         35 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Effect - System\GameplayTagRequireIgnoreContainer.cs                                   | C#       |         10 |          6 |          4 |         20 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Equipment - System\AbstractEquipmentEffectBuilder.cs                                   | C#       |          9 |          0 |          4 |         13 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Equipment - System\EquipmentEffect.cs                                                  | C#       |         22 |          0 |          2 |         24 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Equipment - System\EquipmentRandomEffectBuilder.cs                                     | C#       |         23 |          0 |          5 |         28 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Ability System\Gameplay - Tags\GameplayTagScriptableObject.cs                                         | C#       |         23 |         11 |          8 |         42 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Config\ImpactConfig.cs                                                               | C#       |          9 |          0 |          3 |         12 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Config\MotorConfig.cs                                                                | C#       |         70 |          5 |         13 |         88 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Config\TargetingConfig.cs                                                            | C#       |         14 |          0 |          8 |         22 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Config\VisionConfig.cs                                                               | C#       |         16 |          0 |          9 |         25 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Input System\PlayerControls.cs                                                       | C#       |        359 |         12 |         19 |        390 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Models\BaseAgent.cs                                                                  | C#       |        268 |         18 |         65 |        351 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Models\BatAgent.cs                                                                   | C#       |         12 |          0 |          5 |         17 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Models\DummyAgent.cs                                                                 | C#       |          7 |         12 |         16 |         35 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Models\EnemyAgent.cs                                                                 | C#       |        108 |          7 |         29 |        144 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Models\GhostAgent.cs                                                                 | C#       |         58 |          0 |         12 |         70 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Models\PlayerAgent.cs                                                                | C#       |        163 |         13 |         45 |        221 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Models\ZombieEliteAgent.cs                                                           | C#       |          6 |          0 |          3 |          9 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Animation Events Controller\AnimatorEventsListener.cs                     | C#       |         38 |         12 |         20 |         70 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Animation Events Controller\AnimatorEventsListenerWithRootMotion.cs       | C#       |         30 |          3 |          7 |         40 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Animation Events Controller\IAnimatorMoveReceiver.cs                      | C#       |          8 |          9 |          2 |         19 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Animation Events Controller\ICharacterActionTrigger.cs                    | C#       |         26 |          6 |         11 |         43 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Animator Controller\AgentAnimator.cs                                      | C#       |        168 |          0 |         39 |        207 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Animator Controller\EnemyAnimator.cs                                      | C#       |          6 |          0 |          1 |          7 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Animator Controller\GhostAnimatorController.cs                            | C#       |         38 |          2 |         16 |         56 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Animator Controller\PlayerAnimatorController.cs                           | C#       |         31 |         12 |         20 |         63 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Animator Controller\ZombieAnimatorController.cs                           | C#       |         18 |         12 |         20 |         50 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Motor Controller\AiBasicLocomotionController.cs                           | C#       |         71 |         14 |         23 |        108 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Motor Controller\AiMotorController.cs                                     | C#       |         81 |         13 |         29 |        123 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Motor Controller\AiRollController.cs                                      | C#       |         58 |         12 |         22 |         92 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Motor Controller\ICombatController.cs                                     | C#       |         52 |          0 |         27 |         79 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Motor Controller\ILocomotionController.cs                                 | C#       |         11 |          0 |          2 |         13 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Motor Controller\MeleeCombatController.cs                                 | C#       |         97 |         12 |         25 |        134 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Motor Controller\RangedCombatController.cs                                | C#       |         83 |         12 |         29 |        124 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Targeting Agent Controller\AITargetingPickUpController.cs                 | C#       |         10 |          2 |          5 |         17 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Targeting Agent Controller\BaseTargetingAgentController.cs                | C#       |         87 |         15 |         30 |        132 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Targeting Agent Controller\ITargetingController.cs                        | C#       |         10 |          0 |          5 |         15 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Targeting Agent Controller\PlayerTargetingAgentController.cs              | C#       |         17 |          5 |          6 |         28 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Vision Controller\AiImpactSensorController.cs                             | C#       |         58 |         12 |         22 |         92 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Vision Controller\AiVisionSensorController.cs                             | C#       |        100 |         15 |         30 |        145 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Vision Controller\ISensorController.cs                                    | C#       |         10 |          0 |          2 |         12 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Weapon Visual\AiWeaponVisualsController.cs                                | C#       |         88 |         13 |         25 |        126 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Ai Weapon Visual\PlayerWeaponVisualController.cs                             | C#       |          7 |         12 |         18 |         37 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Shared\AiAbilityController.cs                                                | C#       |         56 |         12 |         15 |         83 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Shared\AiBodyPart.cs                                                         | C#       |         32 |          0 |         11 |         43 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Shared\AiMemoryController.cs                                                 | C#       |         49 |         15 |         19 |         83 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Shared\AiMemoryObject.cs                                                     | C#       |         17 |          5 |          4 |         26 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Shared\BodyPartType.cs                                                       | C#       |          7 |          0 |          1 |          8 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Shared\LockPivot.cs                                                          | C#       |          7 |          0 |          2 |          9 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Character System\Modules\Shared\SimpleDeadBody.cs                                                     | C#       |         70 |          2 |         17 |         89 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\ClassTemplate.cs                                                                                      | C#       |          6 |         12 |         18 |         36 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Context System\AuthContext.cs                                                                         | C#       |         71 |          4 |          8 |         83 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Core\AtomicExtension.cs                                                                               | C#       |        462 |         47 |         68 |        577 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Core\BaseSO.cs                                                                                        | C#       |         20 |          0 |          6 |         26 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Core\CoroutineUtils.cs                                                                                | C#       |         35 |         15 |          6 |         56 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Core\IInitializable.cs                                                                                | C#       |         12 |          5 |          1 |         18 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Core\IInitializableWithBaseModel.cs                                                                   | C#       |         10 |          2 |          2 |         14 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Core\MinMaxParameters.cs                                                                              | C#       |         35 |          0 |          6 |         41 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Core\ProjectileMotionExtension.cs                                                                     | C#       |         38 |          0 |         10 |         48 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Core\RemoveMissingScriptsEditor.cs                                                                    | C#       |         61 |          0 |         14 |         75 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Core\ScriptableObjectManager.cs                                                                       | C#       |         47 |          0 |          6 |         53 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Projectile System\ProjectileBase.cs                                                                   | C#       |         66 |         16 |         18 |        100 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Projectile System\ProjectileCannon.cs                                                                 | C#       |         54 |          6 |         14 |         74 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Projectile System\ProjectileFollowTarget.cs                                                           | C#       |         71 |          6 |         20 |         97 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\Projectile System\ProjectileStandard.cs                                                               | C#       |         39 |         12 |         15 |         66 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Auth\LoginForm.cs                                                                           | C#       |        113 |          9 |         16 |        138 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Auth\RecoveryForm.cs                                                                        | C#       |         70 |          4 |          9 |         83 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Auth\RegistrationForm.cs                                                                    | C#       |        116 |          4 |         16 |        136 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Currency\ClanCurrencyPanel.cs                                                               | C#       |         70 |          1 |         10 |         81 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Currency\CurrencyItem.cs                                                                    | C#       |         61 |          2 |          9 |         72 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Currency\CurrencyPackItem.cs                                                                | C#       |         68 |          1 |         13 |         82 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Currency\CurrencyPanel.cs                                                                   | C#       |         73 |          2 |         12 |         87 |
| d:\Unity\Unity Projects\Enter_The_Dungeon\Assets\_Main\Scripts\UI System\Currency\CurrencyRechargeTimer.cs                                                           | C#       |         53 |          1 |          7 |         61 |
